ts,o,h,l,c,v
1757943000000000,24178.60369858569,24183.64353839006,24173.74694851282,24176.45133022342,0.0
1757943060000000,24175.56626202168,24188.7358876177,24173.13671183905,24188.7358876177,0.0
1757943120000000,24189.45574730174,24199.06289110017,24186.88635246234,24195.96783182793,0.0
1757943180000000,24195.27879411075,24198.5715353584,24183.94029830944,24184.00642170295,0.0
1757943240000000,24182.7987452196,24193.62272906707,24179.13037656808,24185.15869152014,0.0
1757943300000000,24184.98968781499,24194.77432878518,24184.98968781499,24192.8686304694,0.0
1757943360000000,24191.54396199963,24192.85114631688,24178.25430038686,24180.07466115995,0.0
1757943420000000,24181.02659220524,24202.35526465232,24179.72858071693,24197.31099508812,0.0
1757943480000000,24197.94628136689,24206.55129106639,24195.95873333408,24204.13506487969,0.0
1757943540000000,24204.80130510212,24210.88680239062,24196.93007401616,24200.22669723209,0.0
1757943600000000,24200.54962514477,24211.35267594772,24200.54962514477,24209.61211867151,0.0
1757943660000000,24210.1339399757,24212.77202732335,24197.22677398647,24200.80892521874,0.0
1757943720000000,24201.93005958079,24210.00448497895,24200.39701151339,24200.43978533339,0.0
1757943780000000,24200.24087291579,24200.46393993089,24189.7951609522,24189.7951609522,0.0
1757943840000000,24189.81771466472,24191.27198634294,24178.55534508512,24184.06398388583,0.0
1757943900000000,24184.30699969073,24201.17102562119,24184.30699969073,24198.83684860914,0.0
1757943960000000,24198.85010479459,24204.47158581622,24194.13801976667,24204.32669758251,0.0
1757944020000000,24205.27314643475,24205.27314643475,24192.42176963311,24195.21642620799,0.0
1757944080000000,24195.13574887287,24201.35523793242,24193.62638211376,24201.35523793242,0.0
1757944140000000,24201.86472823969,24210.841319812,24201.86472823969,24208.54895387829,0.0
1757944200000000,24208.85837233747,24218.13591330803,24205.84511503641,24218.13591330803,0.0
1757944260000000,24219.25386863385,24236.97252128078,24219.25386863385,24234.17362917558,0.0
1757944320000000,24234.42699815806,24235.55141610951,24224.3665122725,24224.3665122725,0.0
1757944380000000,24223.43547563731,24230.64872881457,24222.19979733842,24222.65456430911,0.0
1757944440000000,24223.0979395304,24229.67144713091,24222.86072498858,24226.40860880889,0.0
1757944500000000,24226.47070439451,24229.12695709817,24224.64589098292,24225.01831734457,0.0
1757944560000000,24223.98269365079,24231.09564484265,24221.96656219668,24222.85217965393,0.0
1757944620000000,24222.84802195132,24235.95345634764,24221.54645802202,24232.08311526979,0.0
1757944680000000,24232.70831806621,24237.6558905829,24232.08214037396,24237.6558905829,0.0
1757944740000000,24237.861596764,24246.71911323876,24235.97639663797,24246.71911323876,0.0
1757944800000000,24248.57927572653,24249.67431369254,24241.47648096603,24242.24398552912,0.0
1757944860000000,24242.39867969505,24243.84083936385,24239.25669424199,24240.82286069088,0.0
1757944920000000,24241.04129755112,24246.03542613648,24235.77427489563,24237.01723792461,0.0
1757944980000000,24236.99058995892,24241.89728913823,24235.4016679466,24235.76087152896,0.0
1757945040000000,24235.85562594009,24239.21644551356,24233.85818380224,24237.17665891331,0.0
1757945100000000,24236.83144017022,24238.46473148196,24230.54494360189,24234.39837986538,0.0
1757945160000000,24234.5353141414,24240.41455078609,24233.96923854583,24239.35523824848,0.0
1757945220000000,24239.90866755979,24246.84098377531,24236.14040207552,24242.08357876023,0.0
1757945280000000,24241.99583245685,24245.10623675608,24240.03214401614,24242.9381254814,0.0
1757945340000000,24242.97400999572,24245.86850535006,24235.2719520896,24235.37828669356,0.0
1757945400000000,24234.43279109311,24237.12608082871,24229.82243306513,24232.40399347438,0.0
1757945460000000,24232.56837129608,24233.30656883266,24226.4055395428,24230.43359748673,0.0
1757945520000000,24230.6251467041,24233.4808729723,24226.28848639294,24226.445536244,0.0
1757945580000000,24226.54796309978,24230.14085696023,24221.44444668585,24221.85332004303,0.0
1757945640000000,24223.05369810019,24235.6322166878,24223.05369810019,24231.88591934985,0.0
1757945700000000,24231.54006514907,24233.85088361512,24229.27692444135,24232.57666082676,0.0
1757945760000000,24232.00185351595,24234.43096903706,24227.1361429382,24233.40663095296,0.0
1757945820000000,24232.47841552559,24233.52029793823,24222.8123154272,24223.90646420605,0.0
1757945880000000,24224.04894240713,24227.46873715066,24223.72777142646,24225.47972948777,0.0
1757945940000000,24225.05541551771,24225.27683143603,24220.69596941405,24224.74530127498,0.0
1757946000000000,24225.23277862501,24225.23277862501,24217.52816278538,24222.41325302232,0.0
1757946060000000,24221.41161189998,24224.90762879008,24215.65971768828,24216.76719320553,0.0
1757946120000000,24216.9569604481,24221.63818400425,24216.04911378299,24220.47395862485,0.0
1757946180000000,24218.09456220479,24221.76333733603,24217.16955190073,24220.69097260386,0.0
1757946240000000,24220.96345229959,24223.22057915378,24213.55531029637,24215.8045659145,0.0
1757946300000000,24215.96824523748,24227.32172647604,24214.00813802566,24227.32172647604,0.0
1757946360000000,24226.87970827816,24230.04738767771,24224.90714428128,24229.18726409384,0.0
1757946420000000,24228.14746673324,24235.70060479486,24227.72654749706,24234.73979110779,0.0
1757946480000000,24233.8503635055,24237.90966385521,24227.89024074527,24234.68586408672,0.0
1757946540000000,24234.33010999326,24237.4381860963,24233.37708560965,24235.43577940069,0.0
1757946600000000,24235.76389848941,24237.78667029001,24223.41905087214,24237.29100741724,0.0
1757946660000000,24236.40188847599,24239.00919157105,24231.67453956261,24236.93717400871,0.0
1757946720000000,24236.02495635233,24238.76326638067,24234.7819327436,24235.8506958809,0.0
1757946780000000,24235.83081227072,24239.58492276912,24233.76536819261,24234.5952993852,0.0
