ts,o,h,l,c,v
1758547800000000,6654.28,6654.28,6648.85,6652.26,0.0
1758547860000000,6652.05,6653.38,6650.5,6653.38,0.0
1758547920000000,6653.54,6656.29,6653.09,6655.82,0.0
1758547980000000,6655.76,6656.610000000001,6652.78,6652.99,0.0
1758548040000000,6653.400000000001,6654.7,6653.400000000001,6653.97,0.0
1758548100000000,6653.93,6654.01,6652.5,6652.57,0.0
1758548160000000,6652.71,6653.62,6650.54,6653.62,0.0
1758548220000000,6653.650000000001,6654.41,6652.6,6653.610000000001,0.0
1758548280000000,6653.6900000000005,6654.03,6652.84,6653.16,0.0
1758548340000000,6653.28,6653.54,6650.07,6650.13,0.0
1758548400000000,6650.06,6650.06,6648.31,6648.4400000000005,0.0
1758548460000000,6648.360000000001,6650.99,6648.07,6650.99,0.0
1758548520000000,6651.05,6652.71,6650.360000000001,6652.67,0.0
1758548580000000,6652.57,6652.95,6651.150000000001,6651.7,0.0
1758548640000000,6651.49,6652.89,6651.31,6652.89,0.0
1758548700000000,6652.88,6654.900000000001,6652.28,6652.87,0.0
1758548760000000,6652.6900000000005,6655.1,6652.6900000000005,6655.01,0.0
1758548820000000,6655.05,6655.2,6653.53,6654.99,0.0
1758548880000000,6654.96,6656.66,6654.96,6656.32,0.0
1758548940000000,6656.33,6657.17,6655.41,6656.01,0.0
1758549000000000,6656.02,6656.41,6655.45,6655.8,0.0
1758549060000000,6655.84,6657.95,6655.3,6657.610000000001,0.0
1758549120000000,6657.55,6658.610000000001,6657.1900000000005,6658.2300000000005,0.0
1758549180000000,6658.13,6659.2300000000005,6657.2,6658.76,0.0
1758549240000000,6658.74,6661.03,6658.72,6661.03,0.0
1758549300000000,6661.02,6661.84,6659.67,6659.82,0.0
1758549360000000,6659.84,6660.47,6659,6660.150000000001,0.0
1758549420000000,6660.02,6660.18,6659.38,6659.66,0.0
1758549480000000,6659.77,6660.5,6658.8,6660.42,0.0
1758549540000000,6660.51,6661.26,6660.1,6661,0.0
1758549600000000,6660.49,6660.63,6658.08,6658.2,0.0
1758549660000000,6658.3,6660.88,6657.91,6660.68,0.0
1758549720000000,6660.6,6661.43,6659.4800000000005,6661.04,0.0
1758549780000000,6661,6662.110000000001,6660.43,6661.93,0.0
1758549840000000,6662,6662.35,6660.92,6661,0.0
1758549900000000,6660.97,6662.05,6660.63,6661.4800000000005,0.0
1758549960000000,6661.400000000001,6663.1900000000005,6661.32,6663.1900000000005,0.0
1758550020000000,6663.18,6663.9800000000005,6662.75,6663.860000000001,0.0
1758550080000000,6663.83,6663.83,6662.1900000000005,6662.27,0.0
1758550140000000,6662.1900000000005,6663.43,6662.1900000000005,6663.1,0.0
1758550200000000,6663.03,6663.150000000001,6661.77,6662.04,0.0
1758550260000000,6662.22,6662.22,6660.83,6660.83,0.0
1758550320000000,6660.76,6662.06,6660.400000000001,6660.400000000001,0.0
1758550380000000,6660.25,6661.04,6659.18,6660.97,0.0
1758550440000000,6660.87,6661.25,6660.43,6661.25,0.0
1758550500000000,6661.05,6661.150000000001,6660.33,6660.79,0.0
1758550560000000,6660.81,6661.83,6660.78,6661.43,0.0
1758550620000000,6661.32,6662.39,6661.32,6661.85,0.0
1758550680000000,6661.87,6662.7300000000005,6661.7300000000005,6662.13,0.0
1758550740000000,6662.21,6662.21,6660.25,6661.1900000000005,0.0
1758550800000000,6661.17,6663.52,6661.17,6663.2,0.0
1758550860000000,6663.3,6664.28,6662.96,6663.96,0.0
1758550920000000,6663.85,6663.93,6662.75,6663.53,0.0
1758550980000000,6663.55,6664.02,6663.25,6663.77,0.0
1758551040000000,6663.75,6664.57,6663.34,6664,0.0
1758551100000000,6663.99,6663.99,6662.83,6663.08,0.0
1758551160000000,6662.95,6664,6662.81,6663.88,0.0
1758551220000000,6663.83,6665.24,6663.62,6664.95,0.0
1758551280000000,6664.89,6666.66,6664.72,6666.06,0.0
1758551340000000,6666.08,6667.84,6665.88,6667.63,0.0
1758551400000000,6667.52,6667.52,6666.27,6667.34,0.0
1758551460000000,6667.360000000001,6667.49,6665.610000000001,6666.35,0.0
1758551520000000,6666.45,6667.09,6666.45,6667.05,0.0
1758551580000000,6667.04,6667.62,6666.37,6667.45,0.0
1758551640000000,6667.42,6667.8,6667.110000000001,6667.41,0.0
1758551700000000,6667.28,6668.400000000001,6667.25,6668.18,0.0
1758551760000000,6668.07,6669.47,6668.07,6668.81,0.0
1758551820000000,6669.04,6669.51,6668.59,6668.6900000000005,0.0
1758551880000000,6668.76,6669.2300000000005,6668.03,6668.84,0.0
1758551940000000,6668.87,6669.51,6668.33,6669.43,0.0
1758552000000000,6669.38,6671.2,6669.38,6671,0.0
1758552060000000,6671.1,6671.31,6670.06,6670.06,0.0
1758552120000000,6670.22,6671.35,6670.22,6671.16,0.0
1758552180000000,6671.21,6671.55,6671.07,6671.37,0.0
1758552240000000,6671.42,6672.16,6671.39,6671.87,0.0
1758552300000000,6671.79,6672.85,6671.54,6672.56,0.0
1758552360000000,6672.610000000001,6673.25,6672.49,6672.56,0.0
1758552420000000,6672.57,6673.6,6672.2,6673.51,0.0
1758552480000000,6673.63,6674.38,6673.63,6674.22,0.0
1758552540000000,6674.08,6674.2,6672.6,6672.78,0.0
1758552600000000,6672.89,6674.63,6672.87,6674.47,0.0
1758552660000000,6674.4400000000005,6676.56,6674.37,6676.4400000000005,0.0
1758552720000000,6676.46,6676.4800000000005,6675.2300000000005,6675.33,0.0
1758552780000000,6675.29,6676.1,6675.29,6676.05,0.0
1758552840000000,6675.96,6675.96,6674.52,6675.150000000001,0.0
1758552900000000,6675.21,6675.54,6674.89,6675.54,0.0
1758552960000000,6675.59,6676.22,6675.360000000001,6675.610000000001,0.0
1758553020000000,6675.59,6676.93,6675.57,6676.93,0.0
1758553080000000,6676.99,6677.2300000000005,6676.7300000000005,6677.22,0.0
1758553140000000,6677.25,6677.3,6676.26,6676.89,0.0
1758553200000000,6676.79,6677.4800000000005,6676.37,6677.39,0.0
1758553260000000,6677.38,6679.360000000001,6677.38,6679.3,0.0
1758553320000000,6679.31,6679.31,6677.21,6677.21,0.0
1758553380000000,6677.18,6677.7300000000005,6676.58,6676.72,0.0
1758553440000000,6676.7300000000005,6676.83,6675.67,6675.67,0.0
1758553500000000,6675.650000000001,6675.650000000001,6674.6900000000005,6674.89,0.0
1758553560000000,6674.96,6675.46,6674.78,6675.4400000000005,0.0
1758553620000000,6675.4800000000005,6676.31,6675.12,6676.18,0.0
1758553680000000,6676.14,6677.2,6676.110000000001,6676.860000000001,0.0
1758553740000000,6676.93,6677.360000000001,6676.64,6677.34,0.0
1758553800000000,6677.39,6677.46,6676.900000000001,6677.45,0.0
1758553860000000,6677.37,6677.54,6674.92,6674.99,0.0
1758553920000000,6675.26,6675.56,6674.5,6674.91,0.0
1758553980000000,6674.85,6675.82,6674.21,6675.82,0.0
1758554040000000,6675.72,6675.77,6674.860000000001,6674.860000000001,0.0
1758554100000000,6674.85,6675.68,6674.66,6674.81,0.0
1758554160000000,6674.900000000001,6675.1,6674.42,6675.02,0.0
1758554220000000,6675.04,6675.04,6673.8,6674.04,0.0
