ts,o,h,l,c,v
1757923200000000,587.6,587.6,587.19,587.19,11818
1757923260000000,587.24,587.3,586.5,586.62,15911
1757923320000000,586.66,586.8,586.54,586.66,6669
1757923380000000,586.6,586.61,586.2,586.35,12505
1757923440000000,586.3,586.3,586,586.19,5089
1757923500000000,586.19,586.66,586.14,586.64,9368
1757923560000000,586.72,586.72,586.59,586.59,3455
1757923620000000,586.65,586.75,586.65,586.74,3432
1757923680000000,586.75,586.91,586.75,586.91,7428
1757923740000000,586.91,586.91,586.91,586.91,1716
1757923800000000,587.02,587.02,586.85,586.85,3102
1757923860000000,586.8,586.84,586.73,586.73,2260
1757923920000000,586.67,586.78,586.67,586.72,1480
1757923980000000,586.78,586.82,586.73,586.82,2301
1757924040000000,586.84,586.84,586.83,586.83,1485
1757924100000000,586.78,586.82,586.71,586.71,3025
1757924160000000,586.68,586.68,586.59,586.59,1097
1757924220000000,586.57,586.76,586.51,586.76,4308
1757924340000000,586.95,587.05,586.95,587.05,3055
1757924400000000,586.87,586.87,586.87,586.87,1202
1757924460000000,586.69,586.7,586.6,586.6,2746
1757924520000000,586.73,586.73,586.63,586.63,4017
1757924640000000,586.8,586.8,586.79,586.79,1055
1757924700000000,586.85,586.86,586.85,586.86,1160
1757924760000000,586.75,586.75,586.73,586.73,3570
1757924820000000,586.6,586.6,586.6,586.6,1199
1757924880000000,586.5,586.5,586.5,586.5,2614
1757924940000000,586.47,586.47,586.44,586.47,4268
1757925000000000,586.47,586.47,586.4,586.4,3785
1757925060000000,586.5,586.56,586.4,586.4,4052
1757925120000000,586.37,586.37,586.3,586.3,943
1757925180000000,586.29,586.36,586.29,586.36,998
1757925240000000,586.35,586.35,586.14,586.16,6486
1757925360000000,586.24,586.3,586.24,586.28,2223
1757925420000000,586.2,586.2,586.07,586.1,5721
1757925480000000,586.14,586.39,586.14,586.39,5963
1757925540000000,586.36,586.36,586.32,586.33,3001
1757925600000000,586.28,586.32,586.28,586.29,2203
1757925720000000,586.45,586.54,586.45,586.54,2721
1757925780000000,586.49,586.49,586.49,586.49,581
1757925840000000,586.53,586.53,586.51,586.51,531
1757925960000000,586.58,586.61,586.58,586.61,2811
1757926080000000,586.7,586.7,586.7,586.7,778
1757926140000000,586.78,586.91,586.78,586.88,7725
1757926200000000,586.9,586.9,586.89,586.89,1644
1757926260000000,586.73,586.73,586.64,586.64,1626
1757926380000000,586.61,586.63,586.58,586.62,2722
1757926500000000,586.56,586.56,586.56,586.56,770
1757926560000000,586.47,586.47,586.4,586.42,2877
1757926680000000,586.48,586.48,586.48,586.48,661
1757926800000000,586.42,586.42,586.42,586.42,423
1757926860000000,586.35,586.36,586.35,586.36,1687
1757926920000000,586.33,586.33,586.33,586.33,610
1757926980000000,586.33,586.33,586.25,586.25,1427
1757927040000000,586.26,586.26,586.22,586.22,2021
1757927100000000,586.3,586.31,586.3,586.31,1611
1757927280000000,586.42,586.42,586.4,586.4,475
1757927520000000,586.29,586.29,586.29,586.29,680
1757927580000000,586.4,586.4,586.38,586.38,715
1757927640000000,586.33,586.33,586.33,586.33,556
1757927700000000,586.3,586.32,586.3,586.32,3672
1757927760000000,586.22,586.22,586.17,586.17,4231
1757927880000000,586.2,586.21,586.2,586.21,3603
1757927940000000,586.2,586.3,586.2,586.27,1828
1757928000000000,586.2,586.2,586.09,586.09,4797
1757928120000000,586.15,586.15,586.15,586.15,768
1757928240000000,586.26,586.28,586.26,586.28,801
1757928300000000,586.26,586.26,586.26,586.26,635
1757928360000000,586.31,586.31,586.31,586.31,414
1757928420000000,586.36,586.36,586.31,586.31,677
1757928480000000,586.33,586.38,586.33,586.38,1171
1757928540000000,586.37,586.37,586.37,586.37,1794
1757928660000000,586.41,586.41,586.41,586.41,271
1757928720000000,586.42,586.44,586.42,586.44,438
1757928840000000,586.35,586.36,586.35,586.36,760
1757928900000000,586.39,586.39,586.33,586.33,1530
1757929140000000,586.5,586.54,586.5,586.51,4180
1757929200000000,586.42,586.43,586.42,586.43,712
1757929260000000,586.48,586.49,586.48,586.49,429
1757929320000000,586.44,586.44,586.36,586.36,874
1757929380000000,586.36,586.36,586.36,586.36,687
1757929440000000,586.4,586.4,586.39,586.39,1291
1757929500000000,586.4,586.4,586.4,586.4,325
1757929560000000,586.5,586.5,586.5,586.5,398
1757929620000000,586.46,586.46,586.43,586.43,2516
1757929680000000,586.43,586.43,586.42,586.42,3238
1757929740000000,586.4,586.4,586.4,586.4,368
1757929800000000,586.43,586.43,586.42,586.43,2655
1757929860000000,586.46,586.46,586.46,586.46,432
1757929920000000,586.49,586.49,586.49,586.49,343
1757929980000000,586.44,586.44,586.44,586.44,298
1757930040000000,586.44,586.47,586.44,586.47,566
1757930100000000,586.47,586.48,586.47,586.48,410
1757930160000000,586.49,586.49,586.48,586.48,2672
1757930340000000,586.44,586.44,586.44,586.44,323
1757930400000000,586.41,586.41,586.41,586.41,211
1757930460000000,586.46,586.46,586.46,586.46,1402
1757930520000000,586.4,586.4,586.4,586.4,337
1757930640000000,586.45,586.45,586.42,586.44,943
1757930700000000,586.47,586.48,586.47,586.48,657
1757930760000000,586.5,586.5,586.5,586.5,785
1757931000000000,586.45,586.5,586.45,586.5,592
1757931120000000,586.52,586.53,586.52,586.52,858
1757931180000000,586.49,586.49,586.49,586.49,522
1757931300000000,586.59,586.59,586.58,586.58,719
1757931360000000,586.65,586.65,586.65,586.65,795
