ts,o,h,l,c,v
1758873600000000,657.36,659.2,657.36,659.04,14789
1758873660000000,659.06,659.07,659.05,659.06,752
1758873720000000,659.05,659.05,659.02,659.03,714
1758873780000000,659.12,659.28,659.1,659.28,1827
1758873840000000,659.3,659.3,659.3,659.3,1214
1758873900000000,659.24,659.24,659.22,659.22,1119
1758874080000000,659.32,659.32,659.32,659.32,662
1758874260000000,659.29,659.29,659.29,659.29,245
1758874320000000,659.29,659.29,659.29,659.29,975
1758874380000000,659.2,659.2,659.2,659.2,578
1758874440000000,659.22,659.22,659.22,659.22,1128
1758874500000000,659.27,659.27,659.27,659.27,869
1758874560000000,659.37,659.4,659.37,659.4,610
1758874620000000,659.37,659.37,659.36,659.36,1027
1758874680000000,659.37,659.37,659.36,659.36,809
1758874740000000,659.37,659.37,659.37,659.37,329
1758874800000000,659.22,659.22,659.22,659.22,487
1758874860000000,659.15,659.15,659.15,659.15,562
1758875100000000,659.14,659.14,659.14,659.14,289
1758875280000000,658.87,658.87,658.87,658.87,574
1758875340000000,658.97,659.03,658.97,659.03,2428
1758875460000000,659.12,659.12,659.06,659.06,1374
1758875700000000,659.06,659.06,659,659,1154
1758875760000000,658.94,658.94,658.94,658.94,479
1758875940000000,658.95,658.95,658.95,658.95,365
1758876060000000,658.89,658.92,658.89,658.92,854
1758876180000000,658.8,658.8,658.8,658.8,408
1758876300000000,658.76,658.76,658.76,658.76,584
1758876360000000,658.55,658.58,658.55,658.58,1243
1758876420000000,658.61,658.61,658.6,658.6,2194
1758876540000000,658.49,658.49,658.48,658.49,2446
1758876600000000,658.24,658.25,658.24,658.25,851
1758876780000000,658.29,658.29,658.29,658.29,2131
1758876840000000,658.39,658.39,658.39,658.39,757
1758876960000000,658.32,658.35,658.32,658.35,1541
1758877020000000,658.33,658.33,658.29,658.29,372
1758877080000000,658.3,658.3,658.3,658.3,295
1758877200000000,658.14,658.14,658.12,658.12,1734
1758877260000000,658.08,658.08,658.04,658.05,1162
1758877380000000,657.9,658,657.87,657.89,3125
1758877440000000,657.85,657.85,657.85,657.85,433
1758877500000000,657.98,658.07,657.98,658.07,2192
1758877620000000,658.2,658.2,658.2,658.2,786
1758877680000000,658.33,658.33,658.33,658.33,380
1758877800000000,658.21,658.21,658.2,658.2,1709
1758877980000000,658.65,658.65,658.58,658.58,1129
1758878280000000,658.43,658.43,658.43,658.43,244
1758878340000000,658.5,658.5,658.5,658.5,257
1758878580000000,658.3,658.3,658.3,658.3,251
1758878640000000,658.25,658.25,658.25,658.25,198
1758878700000000,658.17,658.17,658.17,658.17,257
1758878880000000,658.16,658.16,658.16,658.16,533
1758878940000000,658.19,658.19,658.19,658.19,331
1758879000000000,658.16,658.27,658.16,658.26,660
1758879060000000,658.21,658.22,658.14,658.14,2306
1758879180000000,658.38,658.39,658.38,658.38,1241
1758879240000000,658.41,658.41,658.41,658.41,465
1758879360000000,658.34,658.39,658.33,658.39,980
1758879420000000,658.36,658.36,658.36,658.36,635
1758879540000000,658.44,658.44,658.44,658.44,275
1758879600000000,658.37,658.37,658.37,658.37,721
1758880020000000,658.54,658.54,658.54,658.54,485
1758880200000000,658.66,658.67,658.66,658.67,749
1758880380000000,658.66,658.66,658.66,658.66,133
1758880500000000,658.62,658.62,658.62,658.62,148
1758880560000000,658.62,658.62,658.62,658.62,121
1758880680000000,658.66,658.66,658.66,658.66,401
1758881160000000,658.29,658.29,658.13,658.13,778
1758881220000000,658.18,658.18,658.18,658.18,354
1758881940000000,658.29,658.3,658.23,658.23,1665
1758882000000000,658.34,658.34,658.24,658.24,1128
1758882060000000,658.25,658.25,658.25,658.25,558
1758882120000000,658.15,658.15,658.14,658.14,1394
1758882240000000,658.17,658.17,658.16,658.16,1142
1758882300000000,658.16,658.16,658.16,658.16,891
1758882360000000,658.24,658.27,658.24,658.27,578
1758882480000000,658.22,658.26,658.14,658.25,2820
1758882540000000,658.12,658.12,658.12,658.12,736
1758882660000000,658.1,658.1,658.07,658.07,320
1758882720000000,658.01,658.01,658.01,658.01,487
1758883020000000,658.02,658.02,658.02,658.02,272
1758883140000000,658.02,658.02,658.02,658.02,597
1758883200000000,658.02,658.02,658.02,658.02,690
1758883320000000,658.04,658.04,658.04,658.04,518
1758883380000000,657.93,657.99,657.93,657.99,565
1758883440000000,657.95,657.98,657.95,657.98,519
1758883560000000,658.05,658.05,658.05,658.05,241
1758883800000000,658.01,658.02,658.01,658.02,618
1758883980000000,657.98,657.98,657.98,657.98,1163
1758884340000000,658.15,658.15,658.15,658.15,192
1758884460000000,658.16,658.16,658.14,658.15,840
1758884520000000,658.2,658.2,658.2,658.2,166
1758884640000000,658.07,658.14,658.07,658.14,2098
1758884760000000,658.08,658.16,658.08,658.15,1121
1758884820000000,658.18,658.19,658.18,658.19,541
1758884880000000,658.26,658.26,658.25,658.25,573
1758884940000000,658.221,658.26,658.221,658.26,648
1758885060000000,658.43,658.5,658.43,658.5,1861
1758885120000000,658.55,658.6,658.54,658.6,1519
1758885180000000,658.57,658.57,658.48,658.48,2880
1758885300000000,658.48,658.48,658.43,658.43,2158
1758885360000000,658.34,658.34,658.34,658.34,1122
1758885420000000,658.26,658.26,658.229,658.23,2765
1758885540000000,658.11,658.16,658.08,658.16,2408
1758885600000000,658.2,658.24,658.17,658.24,1735
1758885720000000,658.09,658.09,658.07,658.07,1021
1758885840000000,658.05,658.05,658,658,3207
1758885900000000,657.9,657.93,657.9,657.93,634
1758885960000000,657.91,657.96,657.91,657.96,1327
1758886020000000,657.95,657.95,657.95,657.95,305
1758886080000000,658.08,658.08,658.08,658.08,188
1758886200000000,658.2,658.2,658.03,658.07,2035
1758886260000000,658.23,658.28,658.23,658.26,1009
1758886320000000,658.3,658.34,658.3,658.34,3388
1758886380000000,658.34,658.34,658.3,658.32,5022
1758886440000000,658.33,658.34,658.32,658.34,1416
1758886500000000,658.38,658.44,658.37,658.37,4562
1758886560000000,658.38,658.38,658.35,658.35,889
1758886680000000,658.43,658.43,658.4,658.4,261
1758886740000000,658.43,658.49,658.43,658.49,1774
1758886800000000,658.46,658.48,658.45,658.48,1942
1758886860000000,658.5,658.65,658.5,658.62,5286
1758886920000000,658.63,658.65,658.6,658.6,2572
1758886980000000,658.6,658.6,658.52,658.52,1511
1758887040000000,658.5,658.55,658.49,658.52,1425
1758887100000000,658.52,658.57,658.5,658.545,3437
1758887160000000,658.51,658.62,658.51,658.62,1995
1758887220000000,658.68,658.72,658.66,658.7,5053
1758887280000000,658.7,658.72,658.69,658.71,2991
1758887340000000,658.725,658.73,658.67,658.7,3485
1758887400000000,658.72,658.74,658.71,658.74,3036
1758887460000000,658.77,658.88,658.77,658.88,1682
1758887520000000,658.88,658.91,658.88,658.91,2239
1758887580000000,658.89,658.91,658.89,658.91,978
1758887640000000,658.89,659,658.89,659,1538
1758887700000000,658.99,658.99,658.98,658.98,1198
1758887760000000,658.89,658.89,658.89,658.89,291
1758887820000000,658.84,658.86,658.82,658.82,5098
1758887880000000,658.85,658.85,658.73,658.75,3850
1758887940000000,658.8,658.8,658.71,658.71,821
1758888000000000,658.67,659.5,657.64,658.6,50915
1758888060000000,659.32,659.45,657.6,658.68,7315
1758888120000000,658.7,658.71,658.7,658.71,2087
1758888180000000,658.66,658.66,658.56,658.56,1228
1758888240000000,658.6,658.64,658.59,658.64,6284
1758888300000000,658.64,658.69,658.64,658.69,654
1758888360000000,658.7,658.73,658.69,658.73,2626
1758888420000000,658.81,658.91,658.78,658.91,2098
1758888480000000,658.86,658.99,658.85,658.93,6021
1758888540000000,658.94,658.94,658.92,658.92,1461
1758888600000000,658.9225,658.9225,658.88,658.9,2264
1758888660000000,658.86,658.96,658.84,658.84,3801
1758888720000000,658.85,658.85,658.8105,658.85,4038
1758888780000000,658.83,658.83,658.75,658.75,4563
1758888840000000,658.8,658.8,658.78,658.8,5615
1758888900000000,658.85,658.86,658.85,658.86,1466
1758888960000000,658.9,658.98,658.9,658.92,6059
1758889080000000,658.92,659.1,658.91,658.96,15509
1758889140000000,658.97,659.03,657.96,659.03,9775
1758889200000000,658.91,658.91,658.91,658.91,400
1758889260000000,658.93,658.93,658.88,658.88,4224
1758889320000000,658.88,658.97,658.88,658.93,12947
1758889380000000,658.98,658.98,658.9497,658.9497,1877
1758889440000000,659,659.03,659,659.02,4723
1758889560000000,659.03,659.03,658.92,658.93,1014
1758889620000000,659,659.01,658.9601,659,2251
1758889680000000,658.98,659.13,658.9762,659.13,7953
