ts,o,h,l,c,v
1758547800000000,24588.17984753114,24594.06776994159,24581.92123785791,24591.95114984295,0.0
1758547860000000,24589.78088998235,24602.56180302181,24588.26805175021,24597.87026919539,0.0
1758547920000000,24599.91111929421,24613.90766036267,24596.88231772587,24612.41722027854,0.0
1758547980000000,24610.38178960447,24617.31653678709,24604.02392117455,24604.16573389186,0.0
1758548040000000,24605.5402924669,24614.68413028163,24605.5402924669,24607.7864361154,0.0
1758548100000000,24606.35738711557,24610.07188913988,24596.09631151289,24597.23221172534,0.0
1758548160000000,24597.4978544767,24605.18444650165,24592.19417585863,24605.18444650165,0.0
1758548220000000,24604.359716387,24614.93242112389,24602.21405676053,24613.04818830775,0.0
1758548280000000,24613.80276632851,24615.19743235291,24602.97603439571,24604.62237015996,0.0
1758548340000000,24605.50682253301,24607.48741131436,24589.33321262917,24590.08540513264,0.0
1758548400000000,24590.27258977252,24590.60791740539,24583.36282953481,24587.05983310516,0.0
1758548460000000,24586.1566845845,24590.48669412789,24578.09289173618,24582.64580135592,0.0
1758548520000000,24584.41406700994,24600.1036157742,24584.41406700994,24599.73879860528,0.0
1758548580000000,24600.15384270123,24602.15682727498,24592.9271229181,24599.28866816807,0.0
1758548640000000,24599.71985011921,24606.15529784127,24597.0822518286,24604.47214430889,0.0
1758548700000000,24604.61377950096,24611.83744223691,24599.69059967506,24603.25010179285,0.0
1758548760000000,24601.87326609163,24609.83033729259,24599.97474512279,24609.09032802393,0.0
1758548820000000,24608.79486263081,24610.53557855732,24598.77684018289,24608.60350955879,0.0
1758548880000000,24608.39426005665,24617.44224607397,24608.39426005665,24616.82946719051,0.0
1758548940000000,24615.67100012984,24621.83466858581,24614.42407637821,24616.6680185137,0.0
1758549000000000,24617.38894635192,24619.82580421564,24615.28113506821,24617.76041862854,0.0
1758549060000000,24618.29574281327,24624.46327134788,24615.4012951981,24622.55395834203,0.0
1758549120000000,24622.59725750065,24627.39071057468,24618.66227947794,24626.68735332809,0.0
1758549180000000,24626.37136935814,24627.30965948784,24620.25757808735,24622.90571091115,0.0
1758549240000000,24623.00313984951,24635.19104677643,24623.00313984951,24634.88978256822,0.0
1758549300000000,24634.41027252577,24638.04030067655,24626.67277343387,24626.96928489196,0.0
1758549360000000,24626.29335183061,24627.46963833241,24621.41503835569,24625.32124377276,0.0
1758549420000000,24625.03855795361,24625.07409342439,24615.28321287412,24616.49179792482,0.0
1758549480000000,24618.37706423509,24626.95841770263,24615.27878493869,24626.2311904782,0.0
1758549540000000,24626.26683017487,24631.60213655425,24625.79768368555,24630.01548784075,0.0
1758549600000000,24630.08472012974,24636.43241384308,24625.96953876206,24625.96953876206,0.0
1758549660000000,24625.90347702604,24636.6869929704,24624.40247668376,24636.20622779804,0.0
1758549720000000,24634.37240314725,24639.90533401839,24630.86716012641,24636.72139591119,0.0
1758549780000000,24636.37697237285,24640.97459763029,24634.43943481741,24640.30685672848,0.0
1758549840000000,24639.64589787752,24640.11493914944,24631.92080093793,24632.32897755887,0.0
1758549900000000,24632.62485271591,24638.29936187255,24630.5966505776,24635.68870977173,0.0
1758549960000000,24634.72501673134,24644.19317225184,24634.09277568197,24644.19317225184,0.0
1758550020000000,24644.20623842826,24644.89002912878,24639.62683182711,24643.10300602598,0.0
1758550080000000,24643.41773669284,24643.41773669284,24636.48678476391,24636.88009055898,0.0
1758550140000000,24637.09621549456,24640.86010086597,24636.08772589242,24637.43873938487,0.0
1758550200000000,24637.92296213948,24638.18564983219,24628.4413069358,24628.75398579212,0.0
1758550260000000,24628.8338395586,24628.8338395586,24617.73113004869,24617.73113004869,0.0
1758550320000000,24617.26878440982,24623.6521096466,24616.50608207876,24618.91591733895,0.0
1758550380000000,24618.21374875201,24621.80875418334,24612.87975312472,24620.76896410669,0.0
1758550440000000,24620.6198385374,24622.96185264058,24618.5063839037,24620.1804920632,0.0
1758550500000000,24620.0928004408,24620.66367006674,24616.73239223314,24618.78257441135,0.0
1758550560000000,24618.28007004924,24628.88227891939,24618.28007004924,24628.88227891939,0.0
1758550620000000,24628.77471257303,24633.76150468511,24628.48972620898,24633.11033845988,0.0
1758550680000000,24632.62747306466,24636.0268609581,24631.13996992635,24634.64960810954,0.0
1758550740000000,24634.80822040145,24634.80822040145,24625.51102663835,24627.87842846628,0.0
1758550800000000,24628.31208108707,24638.43951382887,24628.16359808101,24637.28874357271,0.0
1758550860000000,24637.44318708202,24645.49952500508,24635.62016816059,24643.28669208796,0.0
1758550920000000,24643.57121704709,24646.68696252378,24639.82434105766,24641.91206986972,0.0
1758550980000000,24641.76544262462,24646.83669388297,24638.97490411077,24645.90655965518,0.0
1758551040000000,24646.03213394441,24650.54849527616,24644.44554341655,24649.3304445036,0.0
1758551100000000,24649.10716355324,24650.02197694398,24645.34906053885,24645.67052663094,0.0
1758551160000000,24644.97762200775,24648.71387477308,24643.14867689221,24648.6343667687,0.0
1758551220000000,24648.42557344161,24650.31451241983,24647.11128069069,24649.34885196223,0.0
1758551280000000,24648.7945720574,24655.79028592562,24647.25537814913,24653.77817029141,0.0
1758551340000000,24654.24030774695,24664.21258058267,24653.55272738426,24664.21258058267,0.0
1758551400000000,24663.39172252443,24663.61820684182,24658.07714697303,24662.17254199314,0.0
1758551460000000,24662.2944567389,24662.52428959332,24650.37597929083,24653.2932057536,0.0
1758551520000000,24654.12776099414,24656.77275040078,24652.59073247688,24654.77728584229,0.0
1758551580000000,24654.74310453413,24656.84136257199,24654.05353448023,24656.84136257199,0.0
1758551640000000,24657.00579191457,24658.03002844409,24654.80567127132,24656.4431902755,0.0
1758551700000000,24655.76069237758,24662.06926904371,24654.80938554708,24661.71132728765,0.0
1758551760000000,24660.87629512384,24666.4402181466,24660.43007460772,24662.65319645418,0.0
1758551820000000,24662.95470965164,24664.48178492855,24659.58066664179,24660.68373818845,0.0
1758551880000000,24660.50413462331,24664.12833845875,24659.92632339308,24661.2901698405,0.0
1758551940000000,24660.86916524379,24666.90721585955,24659.71194603941,24666.7046471003,0.0
1758552000000000,24665.9771174525,24674.36093015048,24665.9771174525,24673.88526656344,0.0
1758552060000000,24673.90813762051,24674.98895250855,24670.34495060844,24670.48625235316,0.0
1758552120000000,24670.54874677112,24676.34051719377,24670.54874677112,24674.28330833784,0.0
1758552180000000,24674.43113809973,24678.11204867726,24673.95486814626,24674.17686938547,0.0
1758552240000000,24674.34285957433,24679.26677611235,24674.34285957433,24676.13340537233,0.0
1758552300000000,24675.56467319591,24679.42742718774,24673.74407985608,24677.4796905766,0.0
1758552360000000,24677.52324954031,24679.52868744552,24674.7411647852,24674.7411647852,0.0
1758552420000000,24674.96610809394,24678.2194846589,24672.72788724886,24677.23754642797,0.0
1758552480000000,24678.38672245469,24681.92724164319,24678.38672245469,24681.52792916225,0.0
1758552540000000,24681.04358433227,24681.77579612628,24673.93153845786,24674.22652662708,0.0
1758552600000000,24674.46983669749,24682.75304717252,24674.46983669749,24682.7307836325,0.0
1758552660000000,24682.31909045805,24687.58385216965,24681.57088131626,24686.82789145699,0.0
