ts,o,h,l,c,v
1756819800000000,6401.51,6401.51,6373.5,6373.82,0.0
1756819860000000,6373.45,6374.1,6369.57,6371.7,0.0
1756819920000000,6371.18,6374.12,6369.85,6372.53,0.0
1756819980000000,6372.45,6375.13,6369.97,6374.7,0.0
1756820040000000,6374.6,6375.55,6373.2300000000005,6373.99,0.0
1756820100000000,6373.68,6381.6900000000005,6373.34,6378.14,0.0
1756820160000000,6378.16,6381.99,6378.16,6381.16,0.0
1756820220000000,6381.04,6383.05,6380.09,6382.900000000001,0.0
1756820280000000,6382.92,6383.71,6381,6382.09,0.0
1756820340000000,6382.31,6382.9400000000005,6378.34,6378.5,0.0
1756820400000000,6378.4400000000005,6379.64,6376.8,6378.04,0.0
1756820460000000,6378.05,6383.91,6377.97,6383.91,0.0
1756820520000000,6383.99,6384.650000000001,6379.72,6381.72,0.0
1756820580000000,6381.64,6382.17,6379.7300000000005,6381.76,0.0
1756820640000000,6381.900000000001,6382.17,6380.42,6381.93,0.0
1756820700000000,6381.78,6382.88,6379.79,6382.28,0.0
1756820760000000,6381.88,6384.76,6381.6900000000005,6382.95,0.0
1756820820000000,6382.87,6382.87,6375.610000000001,6375.96,0.0
1756820880000000,6376.1,6385.6900000000005,6376.1,6385.6900000000005,0.0
1756820940000000,6385.7300000000005,6388.650000000001,6383.7,6388.650000000001,0.0
1756821000000000,6388.6900000000005,6394.72,6387.63,6394.72,0.0
1756821060000000,6394.66,6399.110000000001,6394.17,6398.85,0.0
1756821120000000,6398.8,6400.01,6396.68,6398.95,0.0
1756821180000000,6399.02,6401.150000000001,6397.04,6397.05,0.0
1756821240000000,6396.97,6402.47,6396.97,6402.47,0.0
1756821300000000,6402.52,6403.84,6401.99,6401.99,0.0
1756821360000000,6401.93,6404.1900000000005,6401.81,6403.87,0.0
1756821420000000,6403.78,6403.97,6401.17,6401.17,0.0
1756821480000000,6401.07,6402.24,6399.66,6401.49,0.0
1756821540000000,6401.35,6402.38,6399.89,6401.8,0.0
1756821600000000,6403.53,6412.01,6403.53,6409.06,0.0
1756821660000000,6409.04,6410.650000000001,6407.75,6407.99,0.0
1756821720000000,6407.92,6407.92,6404.27,6404.32,0.0
1756821780000000,6403.82,6407.12,6403.82,6406.6900000000005,0.0
1756821840000000,6406.610000000001,6406.91,6403.04,6404.18,0.0
1756821900000000,6404.45,6405.400000000001,6401.04,6402.33,0.0
1756821960000000,6402.54,6404.77,6400.67,6400.92,0.0
1756822020000000,6400.66,6403.87,6399.91,6403.51,0.0
1756822080000000,6403.610000000001,6403.95,6401.09,6401.39,0.0
1756822140000000,6401.57,6402.78,6400.2,6401.26,0.0
1756822200000000,6400.89,6402.22,6398.63,6400.16,0.0
1756822260000000,6400.28,6403.67,6400.28,6401.32,0.0
1756822320000000,6401.27,6405.75,6400.91,6405.27,0.0
1756822380000000,6405.1900000000005,6406.02,6400.22,6400.22,0.0
1756822440000000,6400.08,6401.27,6399.14,6400.52,0.0
1756822500000000,6400.28,6400.8,6397.03,6397.03,0.0
1756822560000000,6396.84,6399.13,6396.07,6398.62,0.0
