ts,o,h,l,c,v
1754640000000000,573,573,570.15,570.33,2569
1754640060000000,570.36,570.41,570.36,570.41,1570
1754640120000000,570.5,570.57,570.5,570.57,1542
1754640180000000,570.7,570.7,570.59,570.59,1207
1754640240000000,570.57,570.57,570.56,570.57,1015
1754640300000000,570.56,570.56,570.49,570.49,1729
1754640360000000,570.53,570.67,570.53,570.67,1810
1754640420000000,570.61,570.61,570.58,570.58,1004
1754640480000000,570.54,570.54,570.54,570.54,728
1754640600000000,570.61,570.61,570.61,570.61,364
1754640660000000,570.61,570.61,570.61,570.61,1156
1754640780000000,570.75,570.75,570.72,570.72,1234
1754640840000000,570.75,570.78,570.75,570.75,879
1754640900000000,570.58,570.58,570.58,570.58,640
1754640960000000,570.64,570.64,570.54,570.58,2496
1754641020000000,570.58,570.58,570.58,570.58,1579
1754641080000000,570.57,570.57,570.53,570.54,1058
1754641140000000,570.51,570.52,570.51,570.52,421
1754641200000000,570.61,570.61,570.61,570.61,538
1754641260000000,570.69,570.71,570.69,570.71,2495
1754641380000000,570.7,570.71,570.7,570.71,590
1754641440000000,570.76,570.76,570.75,570.75,896
1754641500000000,570.82,570.82,570.81,570.81,1313
1754641620000000,570.8,570.8,570.8,570.8,461
1754641680000000,570.7,570.7,570.7,570.7,247
1754641740000000,570.75,570.75,570.75,570.75,162
1754641800000000,570.8,570.8,570.67,570.67,1070
1754641860000000,570.64,570.64,570.64,570.64,236
1754641920000000,570.69,570.7,570.69,570.7,781
1754641980000000,570.64,570.71,570.64,570.71,320
1754642100000000,570.66,570.66,570.66,570.66,475
1754642220000000,570.82,570.82,570.82,570.82,1561
1754642340000000,570.77,570.77,570.73,570.73,425
1754642400000000,570.74,570.74,570.74,570.74,430
1754642460000000,570.77,570.77,570.77,570.77,816
1754642520000000,570.7,570.7,570.7,570.7,356
1754642580000000,570.65,570.65,570.65,570.65,108
1754642640000000,570.67,570.67,570.67,570.67,837
1754642760000000,570.65,570.67,570.57,570.57,1394
1754642880000000,570.63,570.71,570.63,570.71,684
1754642940000000,570.79,570.79,570.79,570.79,1194
1754643000000000,570.73,570.75,570.73,570.75,2267
1754643060000000,570.77,570.77,570.77,570.77,284
1754643120000000,570.77,570.77,570.77,570.77,149
1754643180000000,570.8,570.8,570.79,570.79,638
1754643300000000,570.76,570.76,570.69,570.69,469
1754643420000000,570.79,570.81,570.79,570.81,987
1754643480000000,570.77,570.78,570.77,570.78,500
1754643720000000,570.84,570.85,570.79,570.85,1126
1754643780000000,570.8,570.8,570.8,570.8,391
1754643840000000,570.8,570.8,570.73,570.73,1044
1754643960000000,570.81,570.81,570.77,570.78,1373
1754644080000000,570.81,570.81,570.81,570.81,603
1754644140000000,570.96,570.96,570.96,570.96,536
1754644380000000,571.04,571.06,571.04,571.06,390
1754644440000000,571.11,571.11,571.11,571.11,184
1754644500000000,571.11,571.12,571.11,571.12,1175
1754644560000000,571.15,571.16,571.15,571.16,639
1754644620000000,571.05,571.07,571.05,571.07,705
1754644740000000,571.17,571.17,571.17,571.17,1039
1754644860000000,571.24,571.24,571.24,571.24,383
1754644980000000,571.29,571.31,571.29,571.31,420
1754645040000000,571.29,571.29,571.26,571.27,464
1754645160000000,571.1,571.1,571.1,571.1,689
1754645220000000,571.1,571.1,571.1,571.1,233
1754645400000000,571.06,571.06,571.06,571.06,227
1754645700000000,571.1,571.1,571.1,571.1,340
1754645820000000,571.04,571.04,571.04,571.04,824
1754645880000000,571.02,571.02,571.02,571.02,910
1754646000000000,570.99,571.05,570.99,571.05,769
1754646060000000,571.03,571.03,571,571,401
1754646120000000,571,571,571,571,386
1754646180000000,570.96,570.98,570.93,570.96,1316
1754646240000000,570.98,570.98,570.98,570.98,873
1754646360000000,571,571.01,571,571.01,623
1754646420000000,570.98,570.98,570.98,570.98,977
1754646540000000,571.08,571.08,571.07,571.07,499
1754646600000000,570.99,571.05,570.99,571.05,1009
1754646660000000,571.13,571.13,571.13,571.13,1075
1754646720000000,571.02,571.02,571.02,571.02,621
1754646780000000,570.99,571,570.99,571,1444
1754646840000000,570.94,570.94,570.94,570.94,241
1754646900000000,570.94,570.94,570.94,570.94,355
1754646960000000,571.02,571.02,571.02,571.02,583
1754647020000000,570.94,570.94,570.94,570.94,431
1754647200000000,571.01,571.01,571.01,571.01,611
1754647260000000,571.02,571.1,571.02,571.1,2784
1754647320000000,571.13,571.19,571.12,571.19,1691
1754647380000000,571.18,571.18,571.18,571.18,283
1754647440000000,571.23,571.23,571.23,571.23,371
1754647500000000,571.25,571.25,571.25,571.25,568
1754647620000000,571.19,571.2,571.15,571.2,816
1754647860000000,571.05,571.05,571.05,571.05,563
1754647920000000,571.05,571.05,571.05,571.05,1006
1754648040000000,571.09,571.09,571.09,571.09,1355
1754648100000000,571.09,571.09,571.08,571.08,1275
1754648340000000,571.04,571.05,571.04,571.04,1796
1754648400000000,571.04,571.04,570.98,570.98,751
1754648460000000,571.04,571.05,571.04,571.05,745
1754648580000000,571.03,571.03,571.03,571.03,218
1754648640000000,571.01,571.01,571.01,571.01,276
1754648760000000,570.97,570.97,570.97,570.97,163
1754648820000000,570.97,570.97,570.96,570.96,708
1754648880000000,571,571.02,571,571.02,2398
1754648940000000,570.98,571.02,570.98,571.02,1394
1754649180000000,571,571,571,571,592
1754649240000000,571.06,571.06,571.02,571.02,735
1754649300000000,571.02,571.02,571.02,571.02,630
1754649360000000,571.05,571.05,571.05,571.05,603
1754649420000000,571.09,571.09,571.09,571.09,597
1754649480000000,571.11,571.11,571.11,571.11,209
1754649540000000,571.17,571.17,571.17,571.17,198
1754649660000000,571.18,571.2,571.18,571.2,224
1754649720000000,571.18,571.18,571.17,571.17,604
1754649780000000,571.22,571.22,571.22,571.22,517
1754649900000000,571.22,571.22,571.22,571.22,623
1754649960000000,571.25,571.25,571.25,571.25,373
1754650020000000,571.21,571.21,571.21,571.21,305
1754650080000000,571.22,571.22,571.22,571.22,110
1754650140000000,571.21,571.21,571.16,571.16,625
1754650200000000,571.15,571.17,571.15,571.17,1157
1754650260000000,571.12,571.12,571.12,571.12,516
1754650380000000,571.12,571.13,571.11,571.11,2264
1754650440000000,571.12,571.12,571.07,571.1,1656
1754650560000000,571.14,571.14,571.14,571.14,1206
1754650620000000,571.13,571.13,571.13,571.13,147
1754650740000000,571.04,571.04,571.04,571.04,353
1754650800000000,571.09,571.24,571.09,571.18,1909
1754650860000000,571.09,571.13,571.08,571.13,4162
1754650920000000,570.98,571.03,570.98,571.03,1085
1754650980000000,570.95,570.96,570.95,570.96,467
1754651040000000,570.98,571.01,570.98,570.99,812
1754651100000000,571,571,571,571,1034
1754651160000000,571,571.02,571,571.02,8145
1754651220000000,571.04,571.04,571.03,571.03,1101
1754651280000000,571.06,571.06,571.06,571.06,1311
1754651340000000,571.05,571.05,571.05,571.05,629
1754651400000000,571.06,571.06,571.06,571.06,953
1754651520000000,571.12,571.25,571.12,571.25,1569
1754651640000000,571.28,571.28,571.28,571.28,1066
1754651700000000,571.26,571.39,571.23,571.39,2726
1754651760000000,571.35,571.35,571.35,571.35,183
1754651820000000,571.29,571.29,571.29,571.29,4910
1754651880000000,571.26,571.26,571.24,571.24,1113
1754651940000000,571.32,571.32,571.32,571.32,692
1754652000000000,571.3,571.3,571.28,571.3,619
1754652060000000,571.32,571.32,571.32,571.32,1002
1754652120000000,571.36,571.36,571.25,571.25,1929
1754652300000000,571.2,571.2,571.2,571.2,302
1754652420000000,571.18,571.18,571.18,571.18,259
1754652480000000,571.22,571.22,571.2,571.2,1423
1754652540000000,571.2,571.2,571.2,571.2,514
1754652600000000,571.21,571.23,571.21,571.23,1336
1754652660000000,571.269,571.279,571.269,571.279,208
1754652720000000,571.3,571.3,571.25,571.25,648
1754652780000000,571.24,571.24,571.24,571.24,237
1754652900000000,571.37,571.37,571.37,571.37,662
1754652960000000,571.38,571.38,571.38,571.38,129
1754653020000000,571.37,571.39,571.37,571.39,1077
1754653140000000,571.4,571.4,571.4,571.4,306
1754653200000000,571.4,571.42,571.4,571.42,722
1754653260000000,571.35,571.41,571.35,571.41,3438
1754653320000000,571.4,571.4,571.4,571.4,676
1754653380000000,571.36,571.37,571.36,571.37,1265
1754653440000000,571.32,571.37,571.32,571.37,1072
1754653500000000,571.35,571.35,571.35,571.35,429
1754653680000000,571.35,571.37,571.35,571.37,1745
1754653740000000,571.37,571.37,571.33,571.37,2669
1754653800000000,571.35,571.35,571.32,571.32,3053
1754653860000000,571.28,571.28,571.28,571.28,727
1754653920000000,571.29,571.3,571.26,571.26,4134
1754653980000000,571.32,571.32,571.3,571.3,1095
1754654040000000,571.321,571.34,571.321,571.34,2030
1754654100000000,571.33,571.33,571.3,571.3,900
1754654220000000,571.28,571.29,571.27,571.27,11033
1754654280000000,571.28,571.28,571.28,571.28,1826
1754654340000000,571.29,571.29,571.25,571.27,3017
1754654400000000,571,571.41,569.6,571.28,62946
1754654460000000,571.26,571.26,571.22,571.22,2737
1754654520000000,571.3403,571.3403,571.14,571.14,3289
1754654580000000,571.12,571.12,571.12,571.12,829
1754654640000000,571.13,571.13,571.09,571.09,1551
1754654700000000,571.0396,571.0396,571.01,571.03,3725
1754654760000000,571.03,571.03,570.94,570.97,7490
1754654820000000,570.91,570.98,570.8996,570.98,1839
1754654880000000,570.95,570.96,570.88,570.88,2398
1754654940000000,570.85,570.85,570.77,570.8,6903
1754655000000000,570.78,570.84,568.814,570.78,4591
1754655060000000,570.7,570.785,570.69,570.75,5732
1754655120000000,570.75,570.75,570.66,570.69,3247
